Frequency (Hz),Reflection Amplitude - Plot 1,Reflection Amplitude - Plot 2,Reflection Amplitude - Plot 3,Reflection Amplitude - Plot 4,Reflection Amplitude - Plot 5,Reflection Amplitude - Plot 6,Reflection Amplitude - Plot 7,Reflection Amplitude - Plot 8
12471400000,0.0939559,-0.0233306,-0.0239217,0.0406218,0.016704,0.020214,-0.000939726,-0.00399531
12471449900,-0.040572,-0.0806195,0.0289326,-0.0388016,-0.0370329,0.0298084,0.00432358,-0.00599688
12471499800,0.0432741,0.0649714,0.036885,0.00651607,-0.00613779,-0.0174504,0.00447097,0.00711271
12471549701,0.109326,-0.0415784,0.0181731,-0.0430217,0.0157981,0.0256125,0.00983733,0.00706479
12471599601,0.00757864,0.0451082,-0.00167371,-0.00615401,-0.030072,0.00499256,0.00194551,-0.00118157
12471649501,-0.0671746,0.0581501,0.0289675,-0.00493364,0.00400812,0.00442564,0.00347492,0.00548781
12471699401,-0.0781821,-0.0204082,-0.0553954,0.00636026,-0.0222088,0.00693916,-0.00742344,-0.0026715
12471749301,0.00360079,0.0696467,0.0614075,0.00435207,0.013516,0.0219111,-0.0156273,0.00150266
12471799202,0.056922,-0.109277,0.0610296,0.0259366,0.0336087,-0.0356961,0.00737271,0.0092039
12471849102,0.0248591,-0.0339512,0.0439788,0.00363295,0.0247334,-0.00707928,-0.0176317,0.00132153
12471899002,0.0228663,0.0590701,-0.0309273,0.00701394,-0.00952309,0.0110519,0.0246822,-0.00904527
12471948902,-0.0411867,0.0372285,0.0747272,0.00721725,-0.0179571,0.0062308,-0.00267165,-0.000724658
12471998802,0.0557819,0.103361,0.00925451,0.0192494,0.0238543,-0.00936987,0.0117819,-0.00549025
12472048703,0.000874365,0.0373141,-0.0423462,-0.0295879,0.013152,0.0150986,-6.65E-05,-0.00267724
12472098603,0.0443408,0.0267167,0.0188129,-0.0383852,0.0326152,-0.00626069,0.00717963,0.00363314
12472148503,-0.177212,-0.0304084,-0.0156742,0.028153,-0.0271724,0.00931545,0.00619114,0.00691965
12472198403,0.109307,0.0513383,0.000293893,-0.000421446,-0.0171594,0.00325658,-0.0025751,0.00528923
12472248303,0.0455418,-0.0332706,-0.00139732,0.0187798,0.0178572,-0.0236819,0.00104075,0.00705281
12472298204,-0.0106653,-0.0721266,0.0303586,-0.00880223,0.00282433,0.0259692,0.00858077,0.000843895
12472348104,-0.00360119,-0.00933969,-0.0254044,0.00557901,0.0229879,-0.0112043,-9.16E-05,-0.00520329
12472398004,0.0122638,0.0760009,0.0336741,0.00459328,0.0470224,-0.0252775,-0.00643537,0.0161115
12472447904,0.0459651,-0.0781068,-0.000574186,0.00852849,0.00182116,5.64E-05,0.0160383,-0.00343118
12472497804,-0.103087,-0.0435048,0.0351776,0.000621254,0.010652,0.0258379,0.00116328,0.000652589
12472547705,-0.0218989,-0.0115025,0.00359898,-0.0276581,0.0234182,0.0266432,-0.0110276,0.00727411
12472597605,-0.0863886,-0.040266,-0.00377117,-0.0204892,0.0254294,0.0115706,0.00523199,-0.00620751
12472647505,-0.052054,0.0317379,0.0205577,0.00948221,0.00769876,0.0154234,0.0120588,0.0153451
12472697405,0.0659572,0.0376443,0.0435933,-0.0132031,0.0187657,0.0246471,0.0175568,-0.00429366
12472747305,-0.0910424,0.0645098,0.00210895,-0.0336864,-0.00520712,-0.0187681,-0.00444633,-0.0013561
12472797206,0.0662203,-0.0221959,0.0117717,0.011947,0.0416955,-0.0216096,0.0144849,0.00479066
12472847106,-0.0302257,0.0170788,0.00647291,0.00083497,0.044202,0.0120644,0.0110303,0.00494256
12472897006,-0.0124964,-0.0473455,-0.0270349,-0.000377761,0.000262644,-0.0186176,0.0118175,0.00549925
12472946906,0.0199925,-0.00680299,0.0202543,0.0580483,0.00504443,-0.00280399,-0.00328167,0.009611
12472996806,0.0345734,0.0135894,0.0306039,-0.00779827,0.0137161,0.0180167,0.00459713,0.00177036
12473046707,0.0453752,-0.0613143,-0.0119626,0.0284628,0.0379571,-0.0168568,0.0244707,-0.00592743
12473096607,0.0555914,-0.0117309,0.0275587,0.0546337,0.0218845,-0.00931916,-0.0106894,0.00468649
12473146507,0.00328692,0.0294973,0.0133331,0.0703978,0.0115895,0.0306264,0.0227457,-0.000778394
12473196407,0.0230273,0.00154864,-0.00532255,0.00717248,0.00451511,0.0073322,0.0143968,0.00214949
12473246307,-0.0435117,-0.0594095,-0.0606176,-0.00418378,0.0229656,0.0197863,0.00526331,0.00550051
12473296208,0.00435031,0.0141722,-0.01757,0.0332474,0.0168698,0.0295468,-0.00520095,0.00121942
12473346108,0.04148,0.0136244,0.0538083,0.0355067,0.0320476,-0.0131938,-0.00798603,0.00701511
12473396008,-0.0667922,0.0315307,0.0726901,0.0174305,-0.0177316,0.0128319,0.0132447,-0.00544497
12473445908,0.0708539,-0.0255279,0.062585,0.0266893,-9.71E-05,0.0233759,-0.00203384,0.00472889
12473495808,-0.00400883,0.00640983,0.0197061,0.0136131,0.0314581,0.0317163,-0.00158671,-9.87E-05
12473545709,0.0534234,-0.102531,-0.0250381,0.00120395,0.00124389,-0.0364631,0.00343571,0.0098069
12473595609,-0.0232398,-0.0143326,0.0425905,0.0083046,0.00402174,0.0242617,0.00585347,0.00759597
12473645509,0.0165059,-0.0634337,-0.0581247,0.000990357,-0.0292923,0.0421032,0.024802,0.00279565
12473695409,-0.00903528,-0.0233491,0.10519,0.0199471,0.0405802,0.0296225,0.0123265,-0.00380804
12473745309,-0.140351,-0.023736,0.101819,-0.00538113,-0.00331933,0.0126648,0.00648626,0.0170316
