Frequency (Hz),Phase - Plot 0,Phase - Plot 1,Phase - Plot 2,Phase - Plot 3,Phase - Plot 4,Phase - Plot 5,Phase - Plot 6,Phase - Plot 7,Phase - Plot 8
12471400000,0.177148,0.0835136,0.10052,0.116876,0.0844862,0.0722405,0.119329,0.0932152,0.0851993
12471449900,0.442049,0.0410795,0.10652,0.0783935,0.0981833,0.111172,0.109819,0.101956,0.089165
12471499800,0.135828,0.0319666,0.0446339,0.150313,0.103299,0.108082,0.10711,0.0919309,0.0754337
12471549701,0.00951728,0.0641512,0.0401205,0.0703516,0.0654203,0.0753894,0.0914169,0.0919376,0.0846327
12471599601,-0.171676,0.0539654,0.126039,0.083239,0.0550273,0.101185,0.0733524,0.102538,0.0740874
12471649501,-0.0113076,0.136286,0.0612062,0.0591482,0.0928071,0.0879346,0.0506558,0.115415,0.0762554
12471699401,0.0914769,0.029637,0.0267704,0.11256,0.0909377,0.0648322,0.0811275,0.106148,0.0892025
12471749301,0.285222,0.09156,0.0538791,0.0853879,0.092104,0.0846281,0.0973528,0.101411,0.0888311
12471799202,0.125928,0.129413,0.0433822,0.122884,0.0796964,0.091827,0.109085,0.094497,0.0797702
12471849102,-0.0216853,0.0347778,0.112604,0.0851615,0.0670299,0.0940086,0.0843928,0.0843778,0.0815189
12471899002,-0.0293986,-0.0642603,0.0989858,0.0350827,0.0812188,0.107891,0.0869624,0.0941806,0.0813102
12471948902,0.154316,0.14653,0.11264,0.12154,0.0846441,0.07965,0.127241,0.0912325,0.0914616
12471998802,0.180907,0.13878,0.0972315,0.101941,0.0530858,0.0692112,0.126409,0.107947,0.0871332
12472048703,-0.0397286,0.035827,0.166877,0.183092,0.106844,0.0709555,0.0972088,0.0971024,0.0874957
12472098603,0.0617582,0.0820772,0.0588832,0.10245,0.059568,0.0902082,0.0690039,0.123045,0.0929867
12472148503,-0.114458,0.0135778,0.0792873,0.0712469,0.0827002,0.0930135,0.096313,0.0810715,0.0844156
12472198403,0.0170026,0.082576,0.072385,0.142281,0.103929,0.112805,0.0922227,0.0838303,0.0794503
12472248303,-0.0648954,0.0534517,0.0573176,0.22659,0.0716054,0.105453,0.0867311,0.0837042,0.0816446
12472298204,0.079597,0.129049,0.153502,0.0903751,0.0698287,0.113165,0.0938287,0.100912,0.0813442
12472348104,0.153347,0.00109112,0.0884956,-0.0065226,0.0768357,0.110713,0.113404,0.108989,0.0908027
12472398004,0.251613,0.175416,0.0542243,0.0670533,0.139343,0.092205,0.11125,0.104223,0.0897663
12472447904,0.177931,0.119354,0.119409,0.092943,0.134782,0.123773,0.0678999,0.113775,0.076743
12472497804,0.110799,0.0843799,0.129775,0.0679071,0.100879,0.104232,0.0733447,0.119705,0.0905893
12472547705,0.0793596,0.0680093,0.174658,0.12516,0.0877732,0.096268,0.115185,0.0973442,0.0837504
12472597605,0.0894386,0.122237,0.0826427,0.108878,0.0970538,0.107256,0.110246,0.113032,0.0898186
